Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
1275,"Nijboer, Friso",1000063,26.05.1965,Nijmegen,,1993,Netherlands,M,
1520,"Romero Holmes, Alfonso",2200066,28.05.1965,Barcelona,,1995,Spain,M,
1638,"Short, Nigel D.",400025,01.06.1965,Leigh,,1984,England,M,
1410,"Poluljahov, Aleksandr",4112849,06.06.1965,,,1993,Russia,M,
431,"Epishin, Vladimir",4162714,11.07.1965,Leningrad,,1990,Soviet Union,M,currently Russia
841,"Keitlinghaus, Ludger",4600479,24.07.1965,,,1998,Germany,M,
1662,"Slipak, Sergio",100250,28.07.1965,Buenos Aires,,2001,Argentina,M,
1986,"Žaja, Ivan",14500450,29.07.1965,Aržano,,2001,Croatia,M,
1249,"Naumkin, Igor",4101715,10.08.1965,Moscow,13.07.2022,1990,Russia,M,[obit 29]
1679,"Soffer, Ram",2800101,06.09.1965,,,1994,Israel,M,
1998,"Zelčić, Robert",14500310,21.09.1965,Zagreb,,1997,Croatia,M,
1953,"Yagupov, Igor",4113632,13.10.1965,Tula,,2003,Russia,M,
541,"Georgiev, Kiril",2900017,28.11.1965,Petrich,,1985,Bulgaria,M,currently North Macedonia
346,"Dautov, Rustem",4623606,28.11.1965,Ufa,,1990,Soviet Union,M,currently Germany
737,"Illescas Cordoba, Miguel",2200015,03.12.1965,Barcelona,,1988,Spain,M,
201,"Blagojević, Dragiša",900885,01.01.1966,Tuzla,,2004,Serbia and Montenegro,M,title application; currently Montenegro
851,"Khalifman, Alexander",4100115,18.01.1966,Leningrad,,1990,Russia,M,later Germany; currently Russia
338,"Danielsen, Henrik",1400185,21.01.1966,,,1996,Denmark,M,currently Iceland
381,"Dlugy, Maxim",2000075,29.01.1966,Moscow,,1986,United States,M,
1174,"Milov, Leonid",14101068,06.02.1966,Dniepro­petrovsk,,2012,Germany,M,title application
1179,"Mirallès, Gilles",600059,08.02.1966,Grasse,28.01.2022,1997,France,M,[obit 28]
100,"Ashley, Maurice",2001012,06.03.1966,Saint Andrew,,2000,United States,M,
732,"Ikonnikov, Vyacheslav",4100972,15.03.1966,,,1999,Russia,M,
225,"Borges Mateos, Juan",3500160,28.03.1966,Caimanera,,2004,Cuba,M,
613,"Grivas, Efstratios",4200039,30.03.1966,Aigio,,1993,Greece,M,
152,"Barsov, Alexei",14200082,03.04.1966,Samarkand,,2000,Uzbekistan,M,
957,"Kuczyński, Robert",1100033,17.04.1966,Jelenia Góra,,1993,Poland,M,
1630,"Shipov, Sergei",4113624,17.04.1966,Murom,,1996,Russia,M,
1309,"Oll, Lembit",,23.04.1966,Kohtla-Järve,17.05.1999,1990,Soviet Union,M,;[note 73] later Estonia
508,"Galego, Luís",1900072,25.04.1966,,,2002,Portugal,M,
237,"Bricard, Emmanuel",600245,04.05.1966,Versailles,,2005,France,M,title application
1225,"Murshed, Niaz",10200010,13.05.1966,Dhaka,,1987,Bangladesh,M,
1077,"Magomedov, Magaram",4156757,20.05.1966,Khuri,,1998,Tajikistan,M,currently Russia
933,"Kožul, Zdenko",14502879,21.05.1966,Bihać,,1989,Yugoslavia,M,later Bosnia and Herzegovina; currently Croatia
1263,"Nevostrujev, Vladimir",4114345,25.05.1966,Novokuznetsk,,2003,Russia,M,
1798,"Timoshenko, Georgy",14100118,01.06.1966,Kyiv,,1994,Ukraine,M,
1941,"Womacka, Mathias",4611390,26.06.1966,Karl-Marx-Stadt,,2010,Germany,M,title application
996,"Lazić, Miroljub",900788,28.06.1966,Lesnica,,1995,Yugoslavia (S&M),M,currently Serbia
423,"El Gindy, Essam",10600140,14.07.1966,Cairo,,2008,Egypt,M,title application
136,"Balinov, Ilia",1610201,28.07.1966,Batak,,1999,Austria,M,
1687,"Solozhenkin, Evgeniy",4102266,31.07.1966,Leningrad,,1993,Russia,M,
23,"Agrest, Evgenij",1705024,15.08.1966,Vitebsk,,1997,Russia,M,currently Sweden
700,"Hoffman, Alejandro",100340,26.10.1966,Buenos Aires,,1998,Argentina,M,currently Uruguay
154,"Barua, Dibyendu",5000025,27.10.1966,Chittagong,,1991,India,M,
148,"Bareev, Evgeny",4100140,21.11.1966,Yemanzhelinsk,,1989,Soviet Union,M,later Russia; currently Canada
1258,"Nesterov, Yakov",13700030,24.11.1966,Tselinograd,,2005,Kazakhstan,M,title application
1126,"Matamoros Franco, Carlos S.",3600017,17.12.1966,,,2002,Ecuador,M,
1177,"Minasian, Artashes",13300040,21.01.1967,Yerevan,,1992,Armenia,M,
1580,"Savchenko, Stanislav",14101262,21.01.1967,,,1993,Ukraine,M,
1140,"McDonald, Neil",400629,21.01.1967,Gravesend,,1996,England,M,
1483,"Rechlis, Gad",2800047,05.02.1967,,,1990,Israel,M,
116,"Baburin, Alexander",2500914,19.02.1967,Nizhny Novgorod,,1996,Israel,M,
600,"Granda Zúñiga, Julio E",3800024,25.02.1967,Camaná,,1986,Peru,M,
1872,"Velička, Petr",300659,26.02.1967,Frýdek-Místek,,2007,Czech Republic,M,title application
312,"Conquest, Stuart C.",400181,01.03.1967,Ilford,,1991,England,M,
427,"Emms, John M.",400254,14.03.1967,Norwich,,1995,England,M,[citation needed]
1691,"Sorín, Ariel",100196,26.04.1967,Buenos Aires,,1995,Argentina,M,
1885,"Villamayor, Buenaventura",5200393,04.05.1967,Mauban,,2000,Philippines,M,currently Singapore
20,"Agdestein, Simen",1500015,15.05.1967,Asker,,1985,Norway,M,
717,"Howell, James C.",400297,17.05.1967,Brent,,1995,England,M,
1863,"Varavin, Viktor",4101766,23.05.1967,,,1995,Russia,M,
824,"Karpatchev, Aleksandr",4117182,25.05.1967,,,1997,Russia,M,
246,"Brunner, Lucas",1300024,29.05.1967,Bern,,1994,Switzerland,M,
881,"Klinger, Josef",1600010,06.06.1967,St Johann im Pongau,,1988,Austria,M,
261,"Burmakin, Vladimir",4105109,06.06.1967,,,1994,Russia,M,
296,"Chernyshov, Konstantin",4117328,11.06.1967,,,2000,Russia,M,
566,"Godena, Michele",800090,30.06.1967,Valdobbiadene,,1996,Italy,M,
180,"Berelowitsch, Alexander",14101440,02.07.1967,Kharkiv,,1997,Ukraine,M,previously Aleksandar Berelovich; currently Germany
1841,"Urday, Henry",3800032,05.07.1967,Lima,,1992,Peru,M,
890,"Kolev, Atanas",2900130,15.07.1967,Botevgrad,,1993,Bulgaria,M,
81,"Arencibia Rodríguez, Walter",3500012,21.07.1967,Holguín,,1990,Cuba,M,
1816,"Totsky, Leonid",4115228,10.08.1967,,,2000,Russia,M,
728,"Ibragimov, Ildar",4102878,16.08.1967,Kazan,,1993,Russia,M,later United States; currently Russia
1073,"Magem Badals, Jordi",2200074,24.08.1967,Manresa,,1994,Spain,M,
1610,"Shabalov, Alexander",2008572,12.09.1967,Riga,,1991,United States,M,
1193,"Mohr, Stefan",4600290,22.10.1967,Frankfurt,,1989,Germany,M,
1539,"Rychagov, Mikhail",4500040,12.11.1967,Tallinn,,1997,Estonia,M,also Rytshagov
161,"Batyrov, Sapar",14000237,29.11.1967,,,1998,Turkmenistan,M,
1150,"Meijers, Viesturs",11600314,05.12.1967,Limbaži,,2004,Latvia,M,[note 66]
397,"Dražić, Siniša",901172,16.12.1967,Žabalj,,2000,Yugoslavia (S&M),M,currently Serbia
1289,"Nosenko, Alexander",14100690,13.01.1968,,04.02.2017,2014,Ukraine,M,title application[obit 31]
1669,"Smirin, Ilia",2801990,21.01.1968,Vitebsk,,1990,Soviet Union,M,later Belarus; currently Israel
1693,"Sorokin, Maxim",108928,22.01.1968,,30.06.2007,1992,Russia,M,later Argentina
1916,"Wahls, Matthias",4600070,25.01.1968,Hamburg,,1989,Germany,M,[note 102]
754,"Iuldachev, Saidali",14200104,31.01.1968,,,1996,Uzbekistan,M,
1940,"Wolff, Patrick",2000148,15.02.1968,New York City,,1990,United States,M,
666,"Haub, Thorsten Michael",4610776,15.02.1968,Siegen,,2015,Germany,M,title application
1784,"Teske, Henrik",4611500,28.02.1968,,,1996,Germany,M,
1609,"Sevillano, Enrico",5200156,17.03.1968,Cebu City,,2012,United States,M,title application
861,"Khenkin, Igor",4659600,21.03.1968,"Vladimir, Russia",,1992,Russia,M,later Israel; currently Germany
1923,"Ward, Chris G",400203,26.03.1968,London,,1996,England,M,[citation needed]
1989,"Zakhartsov, Viacheslav V.",4115333,30.03.1968,Omsk,,2007,Russia,M,title application
624,"Guliev, Sarhan",13400231,01.04.1968,,,1995,Azerbaijan,M,
374,"Dimitrov, Vladimir",2900050,11.04.1968,Sofia,,1993,Bulgaria,M,
628,"Gunawan, Ruben",7100248,17.04.1968,Jakarta,28.08.2005,1999,Indonesia,M,
1537,"Ruželė, Darius",12800104,27.04.1968,,,1996,Lithuania,M,
1707,"Stanec, Nikolaus",1601776,29.04.1968,Vienna,,2003,Austria,M,
478,"Fishbein, Alexander",2000377,08.05.1968,Leningrad,,1992,United States,M,[note 31]
1363,Peng Zhaoqin,1004786,08.05.1968,Guangzhou,,2004,Netherlands,F,
733,"Ilinčić, Zlatko",900346,10.05.1968,,,1994,Yugoslavia (S&M),M,currently Serbia
805,"Kalinin, Alexander",4112423,26.05.1968,,,2001,Russia,M,
709,"Horvath, Csaba",700118,05.06.1968,,,1993,Hungary,M,
1682,"Sokolov, Ivan",14400030,13.06.1968,Jajce,,1987,Yugoslavia,M,later Bosnia and Herzegovina; currently Netherlands
1921,Wang Zili,8600023,14.06.1968,,,1995,China,M,
202,"Blatný, Pavel",300047,22.06.1968,Brno,,1993,Czech Republic,M,
535,"Gelfand, Boris",2805677,24.06.1968,Minsk,,1989,Soviet Union,M,later Belarus; currently Israel
586,"Gonzalez Zamora, Juan Carlos",3507548,24.06.1968,Havana,,2004,Mexico,M,
76,"Arakhamia-Grant, Ketevan",13600168,19.07.1968,Ochamchire,,2009,Scotland,F,title application
832,"Kasparov, Sergey",13500481,08.08.1968,Mogilev,,2007,Belarus,M,title application
727,"Ibragimov, Alibek",13700952,12.08.1968,,,2002,Kazakhstan,M,
1586,"Schlosser, Philipp",4600169,19.08.1968,Munich,,1992,Germany,M,
1016,"Lev, Ronen",2800063,22.09.1968,,,1994,Israel,M,
656,"Hansen, Lars Bo",1400037,24.09.1968,,,1990,Denmark,M,
1288,"Norwood, David R.",400106,03.10.1968,Farnworth,,1989,England,M,currently Andorra
1621,"Shaw, John",2400553,16.10.1968,"Irvine, North Ayrshire",,2006,Scotland,M,
857,"Kharlov, Andrei",4102185,20.11.1968,Prokopyevsk,15.06.2014,1992,Russia,M,
893,"Komarov, Dimitri",14101270,01.12.1968,,,1994,Ukraine,M,
689,"Herrera, Irisberto",3500373,07.12.1968,,,1999,Cuba,M,currently Spain
67,"Antić, Dejan",901008,09.12.1968,Belgrade,,1999,Yugoslavia (S&M),M,currently Serbia
1423,"Potapov, Alexander",4115074,05.01.1969,,,2004,Russia,M,
35,"Alavkin, Arseny",4120612,17.01.1969,Kazan,,2010,Russia,M,title application
760,"Ivanov, Mikhail M.",4114906,20.01.1969,,,1993,Russia,M,[note 49] currently Serbia
62,"Anka, Emil",700754,20.01.1969,Békéscsaba,,2001,Hungary,M,
1062,"Lunev, Andrey",4120957,21.01.1969,,,2001,Russia,M,
1391,"Piket, Jeroen",1000055,27.01.1969,Leiden,,1989,Netherlands,M,
679,"Hellers, Ferdinand",1700022,28.01.1969,Stockholm,,1988,Sweden,M,
398,"Dreev, Aleksey",4100107,30.01.1969,Stavropol,,1989,Russia,M,
1604,"Sermek, Dražen",14600714,30.01.1969,Osijek,,1994,Slovenia,M,currently Croatia
1943,Wu Shaobin,5800714,04.02.1969,,,1998,China,M,currently Singapore
581,"Gonzáles, Jayson",5201080,05.02.1969,Quezon City,,2008,Philippines,M,
120,"Badea, Bela",1200038,21.02.1969,Aiud,,1999,Romania,M,
1632,"Shishkin, Vadim",14101696,04.03.1969,Kyiv,,2007,Ukraine,M,title application
755,"Ivanchuk, Vasyl",14100010,18.03.1969,Kopychyntsi,,1988,Soviet Union,M,currently Ukraine
1790,"Thórhallsson, Thröstur",2300109,19.03.1969,,,1996,Iceland,M,
240,"Brodsky, Michail",14100932,27.03.1969,Kharkiv,,1994,Ukraine,M,[note 12]
1300,"Obukhov, Alexander",4108442,17.04.1969,,,2005,Russia,M,
1408,"Polgar, Susan",700088,19.04.1969,Budapest,,1991,Hungary,F,also Szuzsanna; later United States; currently Hungary
1548,"Sagalchik, Gennadij",2007916,22.04.1969,,,1994,United States,M,
1708,"Stangl, Markus",4600274,29.04.1969,,01.11.2020,1993,Germany,M,[obit 40]
1285,"Ninov, Nikolai",2900424,21.05.1969,Pazardzhik,,2012,Bulgaria,M,title application
188,"Bezgodov, Alexei",4105257,30.06.1969,,,1999,Russia,M,
1103,"Marciano, David",600423,04.07.1969,Toulouse,,1998,France,M,currently Monaco
903,"Korneev, Oleg",4156803,25.07.1969,,,1995,Russia,M,currently Spain
1392,"Pikula, Dejan",906379,31.07.1969,,,2002,Yugoslavia (S&M),M,currently Serbia
1744,"Summerscale, Aaron P.",400980,26.08.1969,London,,1997,England,M,[citation needed]
292,"Cherniaev, Alexander",4117301,26.08.1969,Arkhangelsk,,2004,Russia,M,currently England
1261,"Nevednichy, Vladislav",1205730,03.09.1969,,,1993,Romania,M,
471,"Finegold, Benjamin",2000261,06.09.1969,Detroit,,2009,United States,M,title application
1605,"Serper, Grigory",2012642,14.09.1969,Tashkent,,1992,Uzbekistan,M,currently United States
1623,"Shcherbakov, Ruslan",4102240,14.09.1969,Borovichi,,1993,Russia,M,
303,"Chuchelov, Vladimir",201260,28.09.1969,Moscow,,1995,Belgium,M,
1585,"Schebler, Gerhard",4603338,03.10.1969,Duisburg,,2004,Germany,M,title application
305,"Cicak, Slavko",1700588,25.10.1969,Titograd,,2001,Sweden,M,
1101,"Manor, Ilan",2800110,26.10.1969,Haifa,,1996,Israel,M,
1065,"Luther, Thomas",4611420,04.11.1969,Erfurt,,1994,Germany,M,
1980,"Zagorskis, Darius",12800120,20.11.1969,Kaunas,,2013,Lithuania,M,title application
487,"Fogarasi, Tibor",700363,21.11.1969,Szolnok,,2003,Hungary,M,
1867,"Vásquez Schroeder, Rodrigo",3400042,06.12.1969,,,2004,Chile,M,
1087,"Maksimenko, Andrei",14100584,07.12.1969,Cherkasy,,1995,Ukraine,M,
53,"Anand, Viswanathan",5000017,11.12.1969,Chennai,,1988,India,M,
379,"Djurhuus, Rune",1500082,25.01.1970,Elverum,,1996,Norway,M,
686,"Hernández Guerrero, Gilberto",5100011,04.02.1970,Ébano,,1995,Mexico,M,
1562,"San Segundo Carrillo, Pablo",2200082,09.02.1970,Madrid,,1995,Spain,M,
910,"Kosić, Dragan",900290,15.02.1970,Sremska Mitrovica,,1995,Yugoslavia (S&M),M,currently Montenegro
347,"David, Alberto",4000013,26.03.1970,Milan,,1998,Luxembourg,M,currently Italy
1547,"Safin, Shukhrat",14200147,03.04.1970,Samarkand,20.09.2009,1999,Uzbekistan,M,
1291,"Novik, Maxim",4102924,03.04.1970,Leningrad,,2003,Russia,M,title application; currently Lithuania
538,"Genov, Petar",2900211,05.04.1970,Plovdiv,,2002,Bulgaria,M,
74,"Apicella, Manuel",600164,19.04.1970,Longjumeau,,1995,France,M,
47,"Alterman, Boris",2801906,04.05.1970,Kharkiv,,1992,Ukraine,M,currently Israel
1236,"Najdoski, Toni",15001334,04.05.1970,,,1998,North Macedonia,M,
775,"Janjghava, Lasha",13600087,05.05.1970,,,1990,Soviet Union,M,also Dzandzhgava; currently Georgia
1818,"Trajković, Predrag",915874,28.05.1970,Gnjilane,13.02.2019,2008,Serbia,M,title application[obit 45]
575,"Golubev, Mikhail",14100983,30.05.1970,Odesa,,1996,Ukraine,M,
52,"Anagnostopoulos, Dimitris",4204077,11.06.1970,,,1996,Greece,M,sometimes Dmitri or Demetrios Agnos
1963,"Yegiazarian, Arsen",13300520,18.06.1970,Yerevan,20.04.2020,2001,Armenia,M,[obit 50]
909,"Kosashvili, Yona",2800080,03.07.1970,Tbilisi,,1994,Israel,M,
849,"Khachiyan, Melikset",13300512,06.07.1970,Baku,,2006,United States,M,[note 53]
1864,"Varga, Zoltán",700509,12.07.1970,,,1995,Hungary,M,
552,"Giaccio, Alfredo",101613,15.07.1970,Buenos Aires,,2013,Argentina,M,title application
1730,"Stripunsky, Alexander",2015315,18.08.1970,,,1998,United States,M,
1564,"Sánchez, Joseph",5201233,19.08.1970,Cebu City,,2009,Philippines,M,title application
1895,"Vokarev, Sergey",4119711,28.08.1970,Yekaterinburg,,2008,Russia,M,title application
718,"Hráček, Zbyněk",300071,09.09.1970,Uherské Hradiště,,1993,Czech Republic,M,
701,"Hoffmann, Michael",4601297,19.09.1970,Bochum,,2009,Germany,M,
1018,"Leventić, Ivan",14500442,21.09.1970,,,2005,Croatia,M,title application
1133,"Matsuura, Everaldo",2100169,01.10.1970,Maringá,,2011,Brazil,M,title application
810,"Kalugin, Sergey G.",4128567,03.10.1970,,,2000,Russia,M,
695,"Hillarp Persson, Tiger",1700812,28.10.1970,Malmö,,1999,Sweden,M,
1945,Xie Jun,8600147,30.10.1970,Baoding,,1993,China,F,FIDE Golden Book; Di Felice[note 104]
2023,"Zontakh, Andrey",14101130,04.11.1970,,,1997,Ukraine,M,
606,"Grigore, George-Gabriel",1200186,13.11.1970,Constanța,,2002,Romania,M,
1219,"Muller, Karsten",4600347,23.11.1970,Hamburg,,1998,Germany,M,
533,"Gdański, Jacek",1100106,30.11.1970,Szczecinek,,1997,Poland,M,
1565,"Sănduleac, Vasile",13900161,02.01.1971,Bălți,,2006,Moldova,M,
597,"Grabarczyk, Mirosław",1101684,03.01.1971,Płock,,2002,Poland,M,
1280,"Nikolaidis, Ioannis",4202139,04.01.1971,,,1995,Greece,M,
354,"Degraeve, Jean-Marc",600270,26.01.1971,Tourcoing,,1998,France,M,
1375,"Petkov, Vladimir",2901188,26.01.1971,Vidin,,2007,Bulgaria,M,title application
1627,"Sherzer, Alex",2000512,01.02.1971,,04.12.2022,1993,United States,M,[citation needed]
1456,"Rabiega, Robert",4601475,01.02.1971,Berlin,,2002,Germany,M,
1901,"Volzhin, Alexander",4115031,02.02.1971,Makhachkala,,1997,Russia,M,
1411,"Polzin, Rainer",4610741,13.02.1971,,,2007,Germany,M,title application
1697,"Spasov, Vasil",2900041,17.02.1971,Varna,,1990,Bulgaria,M,
1332,"Palac, Mladen",14500116,18.02.1971,Donji Mamići,,1993,Croatia,M,
1067,"Lutz, Christopher",4600193,24.02.1971,Neukirchen,,1992,Germany,M,
677,"Heinemann, Thies",4601556,07.03.1971,Hamburg,,2018,Germany,M,title application
187,"Beshukov, Sergei",4105451,01.04.1971,,,1994,Russia,M,
519,"García Ilundáin, David",2200538,02.04.1971,El Prat de Llobregat,19.06.2002,1996,Spain,M,
657,"Hansen, Sune Berg",1400266,21.04.1971,,,1998,Denmark,M,
1161,"Miezis, Normunds",11600136,11.05.1971,Olaine,,1997,Latvia,M,
369,"Dgebuadze, Alexandre",203882,21.05.1971,,,2000,Soviet Union,M,later Georgia; currently Belgium
948,"Krivoshey, Sergei",14102226,23.05.1971,Zhitomir,,2006,Ukraine,M,
1839,"Ulybin, Mikhail",4101405,31.05.1971,Sverdlovsk,,1991,Russia,M,[note 101]
311,"Comas Fabregó, Lluis",2200325,22.06.1971,Santa Eugènia de Berga,,1999,Spain,M,
572,"Golod, Vitali",2804140,23.06.1971,Lviv,,1996,Israel,M,
704,"Holzke, Frank",4600428,08.07.1971,Cologne,,2008,Germany,M,title application
358,"Delchev, Aleksander",2900394,15.07.1971,Sofia,,1998,Bulgaria,M,
75,"Appel, Ralf",4600924,18.07.1971,Pirmasens,,2008,Germany,M,title application
1081,"Maiorov, Oleg",4119916,21.07.1971,,,1999,Russia,M,
1510,"Rogić, Davor",14501228,27.07.1971,,,2006,Croatia,M,
1032,"Likavský, Tomáš",14900483,28.07.1971,Zvolen,,2005,Slovakia,M,title application
167,"Belikov, Vladimir",4103904,02.08.1971,,,2000,Russia,M,
554,"Ginsburg, Gennadi",4630629,11.08.1971,Kommunarsk,,2006,Germany,M,title application
280,"Chabanon, Jean-Luc",600075,13.08.1971,Clermont-Ferrand,,2001,France,M,
2001,"Zezulkin, Jurij",13500147,16.08.1971,Minsk,,1999,Belarus,M,currently Poland
1852,"Valerga, Diego",100587,01.10.1971,Buenos Aires,,2009,Argentina,M,title application
667,"Hauchard, Arnaud",600113,15.11.1971,Rouen,,2000,France,M,
12,"Adams, Michael",400041,17.11.1971,Truro,,1989,England,M,
31,"Akopian, Vladimir",13300032,07.12.1971,Baku,,1991,Armenia,M,currently United States
1218,"Mrva, Martin",14900092,12.12.1971,Prešov,,2005,Slovakia,M,title application
221,"Bologan, Victor",13900048,14.12.1971,Chișinău,,1991,Moldova,M,
1188,"Mitkov, Nikola",15000290,18.12.1971,,,1993,North Macedonia,M,
1821,"Tregubov, Pavel V.",4115341,21.12.1971,Krasnodar,,1994,Russia,M,currently France
145,"Barcenilla, Rogelio",5200059,23.01.1972,Bacolod,,2010,Philippines,M,title application[note 10]
1112,"Markosian, David S.",13300466,24.01.1972,Stepanakert,,2008,Armenia,M,title application
1301,"Odeev, Handszar",14000091,27.01.1972,Moscow,,2004,Turkmenistan,M,
633,"Gurevich, Ilya",2000628,08.02.1972,Kyiv,,1993,United States,M,[note 41]
1720,"Stern, René",4611799,15.02.1972,Dresden,,2014,Germany,M,title application[note 93]
1293,"Novikov, Maxim",4161289,02.05.1972,Klimovsk,,2005,Russia,M,title application
934,"Kraai, Jesse",2002035,06.05.1972,Santa Fe,,2007,United States,M,title application
984,"Landa, Konstantin",4101685,22.05.1972,Omsk,12.10.2022,1995,Russia,M,[obit 24]
189,"Bezold, Michael",4601718,23.05.1972,Bayreuth,,1998,Germany,M,
1459,"Radulski, Julian",2901595,24.05.1972,Plovdiv,16.02.2013,2004,Bulgaria,M,title application
838,"Kazakov, Mikhail",14102749,28.05.1972,,,2001,Ukraine,M,also Mikhail Kozakov
65,"Annakov, Babakuli",14000032,29.05.1972,,,1998,Turkmenistan,M,currently United States
1742,"Sulypa, Oleksandr",14100487,03.06.1972,Lviv,,2000,Ukraine,M,
711,"Horváth, Péter",700843,17.06.1972,Pécs,,2006,Hungary,M,title application
1829,Từ Hoàng Thông,12400076,22.06.1972,Ho Chi Minh City,,1999,Vietnam,M,
664,"Hasangatin, Ramil",4122160,01.07.1972,Kazan,,2003,Russia,M,title application
1631,"Shirov, Alexei",2209390,04.07.1972,Riga,,1990,Soviet Union,M,later Latvia; currently Spain
1167,"Mikhalevski, Victor",2801914,08.07.1972,Gomel,,1996,Israel,M,[note 67]
356,"De La Riva Aguado, Oscar",6900224,15.07.1972,Barcelona,,2004,Andorra,M,
1714,"Stefánsson, Hannes",2300087,18.07.1972,,,1993,Iceland,M,
1175,"Milov, Vadim",1304364,01.08.1972,Ufa,,1993,Switzerland,M,
1486,"Reinderman, Dimitri",1001302,12.08.1972,Hoorn,,1998,Netherlands,M,
3,"Abbasifar, Hasan",12501000,12.09.1972,Shiraz,,2013,Iran,M,title application[note 1]; currently Spain
453,"Fedorov, Alexei",13500465,27.09.1972,Mogilev,,1995,Belarus,M,
1862,"Van Wely, Loek",1000268,07.10.1972,Heesch,,1993,Netherlands,M,
649,"Hamdouchi, Hicham",9000011,08.10.1972,Tangier,,1994,Morocco,M,later France; currently Morocco
1622,"Shchekachev, Andrei",4107730,27.10.1972,,,1996,Russia,M,currently France
1995,"Zarnicki, Pablo",100137,12.11.1972,Bulnes,,1994,Argentina,M,
582,"Gonzalez, Renier",3501841,21.11.1972,Jagüey Grande,,2008,United States,M,title application
1741,"Šulskis, Šarūnas",12800112,26.11.1972,Kėdainiai,,1996,Lithuania,M,
1323,"Ovetchkin, Roman",4119991,16.01.1973,,,2005,Russia,M,
1803,"Tiviakov, Sergei",1008013,14.02.1973,Krasnodar,,1991,Russia,M,currently Netherlands
612,"Gritsak, Orest",14102188,24.02.1973,Lviv,,2001,Ukraine,M,
859,"Khatanbaatar, Bazar",4900332,25.02.1973,,,1999,Mongolia,M,
1251,"Nedev, Trajko",15000605,27.02.1973,,,2001,North Macedonia,M,
1362,Peng Xiaomin,8600511,08.04.1973,,,1996,China,M,
991,"Lautier, Joël",600016,12.04.1973,Scarborough (now part of Toronto),,1990,France,M,
1645,"Siebrecht, Sebastian",4609352,16.04.1973,Herdecke,,2008,Germany,M,title application
477,"Fish, Gennadij",14102803,20.04.1973,Simferopol,,2007,Germany,M,title application
1100,"Manolache, Marius",1201530,22.04.1973,Galați,,2007,Romania,M,title application[note 65]
1113,"Marković, Miroslav",901504,08.05.1973,,,1999,Yugoslavia (S&M),M,currently Serbia
38,"Aleksandrov, Aleksej",13500139,11.05.1973,Kobryn,,1997,Belarus,M,[note 4]
773,"Janev, Evgeni",2900360,16.05.1973,Sofia,,2002,Bulgaria,M,
1272,"Nielsen, Peter Heine",1400355,24.05.1973,Holstebro,,1994,Denmark,M,
583,"González Acosta, Bernal",6500170,10.06.1973,"San José, Costa Rica",,2015,Costa Rica,M,title application
1966,"Yevseev, Denis",4126378,03.07.1973,Murmansk,,2003,Russia,M,
1771,"Talla, Vladimir",303445,03.07.1973,Ostrava,,2010,Czech Republic,M,title application
1536,"Rustemov, Alexander",4119002,06.07.1973,Murmansk,,1998,Russia,M,
1312,"Oms Pallise, Josep",2205521,20.07.1973,Vallfogona de Balaguer,,2007,Andorra,M,title application; currently Spain
1,"Aagaard, Jacob",1401815,31.07.1973,Hørsholm,,2007,Denmark,M,"title application; later Scotland, currently Denmark"
228,"Borovikov, Vladislav",14102811,10.08.1973,,,2001,Ukraine,M,
1857,"Van der Weide, Karel",1003143,11.08.1973,Amsterdam,,2004,Netherlands,M,
584,"González García, José",5101174,12.08.1973,Madrid,,2006,Mexico,M,title application; currently Spain
1513,"Rogozenco, Dorian",1210319,18.08.1973,Kishinev,,1995,Moldova,M,currently Romania
272,Cao Sang,725056,06.09.1973,,,2003,Hungary,M,currently Vietnam
115,"Babula, Vlastimil",301264,02.10.1973,Uherský Brod,,1997,Czech Republic,M,
1766,"Tadić, Branko",916412,04.10.1973,Belgrade,,2010,Serbia,M,title application
163,"Becerra Rivero, Julio",3501728,15.10.1973,Havana,,1997,Cuba,M,currently United States
640,"Gutman, Gennadi",14102277,01.11.1973,,,2001,Ukraine,M,
1477,"Rašík, Vitězslav",300306,07.11.1973,,,2017,Czech Republic,M,title application
1804,"Tkachiev, Vladislav",618438,09.11.1973,Moscow,,1995,Kazakhstan,M,currently France
839,"Kazhgaleyev, Murtas",13700316,17.11.1973,Uralsk,,1998,Kazakhstan,M,
771,"Jakubiec, Artur",1103261,03.12.1973,Wadowice,,2002,Poland,M,
1602,"Seres, Lajos",701254,08.12.1973,Kisköre,,2003,Hungary,M,
1506,"Rodríguez Vila, Andrés",3000010,19.12.1973,Montevideo,,1997,Uruguay,M,
922,"Kotsur, Pavel",13700278,03.01.1974,Astana,,1996,Kazakhstan,M,
337,"Danielian, Oganes",13300237,03.01.1974,Yerevan,08.08.2016,1999,Armenia,M,
2022,"Zoler, Dan",2800705,10.01.1974,,,2011,Israel,M,title application[note 109]
1169,"Milanović, Danilo",915483,18.01.1974,Smederevska Palanka,,2008,Serbia,M,title application
1243,"Narciso Dublan, Marc",2201500,20.01.1974,Barcelona,,2003,Spain,M,
1168,"Miladinović, Igor",4203380,25.01.1974,Niš,,1993,Yugoslavia (S&M),M,later Greece; currently Serbia
888,"Kogan, Arthur",2800802,29.01.1974,Chernivtsi,,1998,Israel,M,
287,"Chatalbashev, Boris",2900440,30.01.1974,Pleven,,1997,Bulgaria,M,currently Denmark
1897,"Volkov, Sergey",4122763,07.02.1974,Saransk,,1998,Russia,M,
