Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
1109,"Marić, Rudolf",,13.05.1927,Novi Sad,26.08.1990,1990,Yugoslavia,M,honorary
389,"Donner, Johannes Hendrikus",,06.07.1927,The Hague,27.11.1988,1959,Netherlands,M,
265,"Byrne, Robert",2000385,20.04.1928,New York City,12.04.2013,1964,United States,M,Gaige; Di Felice
1588,"Schmid, Lothar",4600061,10.05.1928,Dresden,18.05.2013,1959,West Germany,M,later Germany
176,"Benko, Pal",2000687,15.07.1928,Amiens,26.08.2019,1958,United States,M,Gaige; Di Felice[obit 5]
467,"Filip, Miroslav",300098,27.10.1928,Prague,27.04.2009,1955,Czecho­slovakia,M,
72,"Antoshin, Vladimir",,14.05.1929,Moscow,13.05.1994,1964,Russia,M,
1380,"Petrosian, Tigran",,17.06.1929,Tbilisi,13.08.1984,1952,Soviet Union,M,Gaige
196,"Bisguier, Arthur",2001098,08.10.1929,New York City,05.04.2017,1957,United States,M,
1501,"Robatsch, Karl",1600052,14.10.1929,Klagenfurt,19.09.2000,1961,Austria,M,
1127,"Matanović, Aleksandar",900230,23.05.1930,Belgrade,,1955,Yugoslavia,M,Gaige; currently Serbia
949,"Krogius, Nikolai V.",4100565,22.07.1930,Saratov,14.07.2022,1964,Soviet Union,M,Gaige; later Russia[obit 21]
705,"Honfi, Károly",,25.10.1930,Pesterzsébet,14.08.1996,1996,Hungary,M,honorary
1389,"Pietzsch, Wolfgang",,21.12.1930,Wittgendorf,29.12.1996,1965,East Germany,M,;[note 81] later Germany
901,"Korchnoi, Viktor",1300016,23.03.1931,Leningrad,06.06.2016,1956,Soviet Union,M,later Switzerland
1005,"Lein, Anatoly",2000270,28.03.1931,Leningrad,01.03.2018,1968,Soviet Union,M,Gaige; later United States
498,"Fuderer, Andrija",205591,13.05.1931,Subotica,02.10.2011,1990,Yugoslavia,M,honorary; later Belgium
1412,"Pomar, Arturo",2200449,01.09.1931,Palma de Mallorca,26.05.2016,1962,Spain,M,
208,"Bobotsov, Milko",2900270,30.10.1931,Plovdiv,03.04.2000,1961,Bulgaria,M,
307,"Ciocâltea, Victor",,16.01.1932,Bucharest,10.09.1983,1978,Romania,M,
446,"Evans, Larry",2000369,22.03.1932,New York City,15.11.2010,1957,United States,M,
1279,"Nikolac, Juraj",14500140,22.04.1932,Metković,,1979,Yugoslavia,M,currently Croatia
